gvkey,tic,cik,conm
145109,TECJQ,0001131072,TETON ENERGY CORP
145120,ABC.P,,AMERISOURCE CORP-PRO FORMA
145121,AIG.P,,AMERICAN INTL GRP-PRO FORMA
145144,WSF,0001156918,WELLS FARGO CAPITAL IV
145160,ACUS,0001115143,ACUSPHERE INC
145161,NSDA,0001157624,NASSDA CORP
145162,PVS.PR.A,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.B,,PARTNERS VALUE SPLIT CORP
145162,BNA.PD,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.C,,PARTNERS VALUE SPLIT CORP
145162,6450B,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.D,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.E,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.F,,PARTNERS VALUE SPLIT CORP
145162,,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.G,,PARTNERS VALUE SPLIT CORP
145162,PVS.PR.H,,PARTNERS VALUE SPLIT CORP
145162,,,PARTNERS VALUE SPLIT CORP
145162,0157B,,PARTNERS VALUE SPLIT CORP
145162,PART8,,PARTNERS VALUE SPLIT CORP
145162,PVS.PI,,PARTNERS VALUE SPLIT CORP
145162,PVS.PJ,,PARTNERS VALUE SPLIT CORP
145162,PVS.PK.,,PARTNERS VALUE SPLIT CORP
145170,TAEC,0001128581,TODAYS ALTERNATIVE ENERGY CP
145171,TRCMY,0001158004,TRANSCOM WORLDWIDE AB
145171,TRCXY,0001158004,TRANSCOM WORLDWIDE AB
145186,WCIMQ,0001574532,WCI COMMUNITIES INC
145186,WCIAQ,0001574532,WCI COMMUNITIES INC
145186,WCIC,0001574532,WCI COMMUNITIES INC
145191,GABA,0001163308,GEORGIA BANCSHARES INC
145206,NPHC,0001119643,NUTRA PHARMA CORP
145207,PTRZ,0001447994,PETRO AMERICA CORP
145226,PDE.P,,PRIDE INTERNATIONAL-PRO FORM
145227,HTG,0001158265,HERITAGE PPTY INVESTMENT TR
145228,ZGEN.2,0001129425,ZYMOGENETICS INC
145229,CRT.UN.1,,CITADEL SMART FUND
145230,IUNTF,,ISHARES MSCI EAFE ETF CAD-HD
145230,XIN.,,ISHARES MSCI EAFE ETF CAD-HD
145232,YERBF,0001978133,YERBAE BRANDS CORP
145232,KBY.H,0001978133,YERBAE BRANDS CORP
145247,SGT.UN,,SENTRY SELECT GLBL IDX INCM
145267,P.P,,PHILLIPS PETROLEUM-PRO FORMA
145268,CNL1,0000018672,CLECO POWER LLC
145269,IDA1,0000049648,IDAHO POWER CO
145270,SRP2,0000071180,NEVADA POWER CO
145271,NGG1,0000071932,NIAGARA MOHAWK POWER CORP
145271,NMPWP,0000071932,NIAGARA MOHAWK POWER CORP
145271,NMKBP,0000071932,NIAGARA MOHAWK POWER CORP
145271,NMKCP,0000071932,NIAGARA MOHAWK POWER CORP
145273,XEL2,0001123852,NORTHERN STATES POWER CO /MN
145273,NNSPP,0001123852,NORTHERN STATES POWER CO /MN
145274,SRE1,0000075527,PACIFIC ENTERPRISES INC
145274,PET.PA,0000075527,PACIFIC ENTERPRISES INC
145274,PET.PB,0000075527,PACIFIC ENTERPRISES INC
145274,PET.PC,0000075527,PACIFIC ENTERPRISES INC
145274,PET.PD,0000075527,PACIFIC ENTERPRISES INC
145287,MYHA,0001125856,MY HEALTHY ACCESS INC
145308,WW,0000105319,WW INTERNATIONAL INC
145310,BOW.P,,BOWATER INC-PRO FORMA
145313,HYDGQ,0001124394,HYDROGEN CORP
145314,GMSL,0001132590,GEM SOLUTIONS INC
145315,HIET,0001112424,HIENERGY TECHNOLOGIES INC
145327,JPHC,0001088199,JUPITER GLOBAL HOLDINGS CORP
145347,EXC1,0000078100,PECO ENERGY CO
145348,PPL2,0000317187,PPL ELECTRIC UTILITIES CORP
145348,PPL.PA.,0000317187,PPL ELECTRIC UTILITIES CORP
145348,PPL.PB,0000317187,PPL ELECTRIC UTILITIES CORP
145349,PPL3,0001127712,PPL MONTANA LLC
145350,CNP3,0001042773,CENTERPOINT ENERGY RES CORP
145351,PRXG,0001082198,PERNIX GROUP INC
145367,AGP,0001064863,AMERIGROUP CORP
145368,TSN.P,,TYSON FOODS-PRO FORMA
145387,SECD.,,SECOND BANCORP CAPITAL TR I
145388,XSONF,0001132340,CLAXSON INTERACTVE GRP -CL A
145407,CREG,0000721693,SMART POWERR CORP
145409,GDSI,0001011662,GLOBAL DIGITAL SOLUTIONS INC
145410,NBJ,0001145728,NUVEEN OH  DIV ADV MUNI FD 2
145410,NBJ.PA,0001145728,NUVEEN OH  DIV ADV MUNI FD 2
145411,NZX,0001097668,NUVEEN GA DIV ADV MUNI FD
145411,NZX.PC,0001097668,NUVEEN GA DIV ADV MUNI FD
145412,NZR,0001137885,NUVEEN MD DIV ADV MUNI FD 2
145412,NZR.PC,0001137885,NUVEEN MD DIV ADV MUNI FD 2
145413,NZW,0001087785,NUVEEN MICH DIV ADV MUNI FD
145413,NZW.PC,0001087785,NUVEEN MICH DIV ADV MUNI FD
145414,NZF,0001137887,NUVEEN MUN CREDIT INCM FD
145414,NZF.PC,0001137887,NUVEEN MUN CREDIT INCM FD
145415,NZH,0001137888,NUVEEN CA DIV ADV MUNI FD 3
145415,NZH.PA,0001137888,NUVEEN CA DIV ADV MUNI FD 3
145415,NZH.PB,0001137888,NUVEEN CA DIV ADV MUNI FD 3
145416,SRLS,0001156295,SERACARE LIFE SCIENCES INC
145427,HCH,,MERRILL LYNCH CANADA CP HLDR
145427,HCH.2,,MERRILL LYNCH CANADA CP HLDR
145428,FBF.PL,0001058613,FLEET CAPITAL TRUST VII
145430,PL.PS,0001041782,PLC CAPITAL TRUST III
145431,PCO.2,0001159119,PREMCOR INC
145432,BSTR,0000027850,BANKERS STORE INC
145434,FDG.P,,FORDING INC-PRO FORMA
145436,FHR.P,,FAIRMONT HOTELS-PRO FORMA
145437,CP.P,,CANADIAN PAC RAILWY-PRO FORM
145438,TEU.P,,CP SHIPS LTD-PRO FORMA
145439,PCX.P,,PANCANADIAN ENERGY-PRO FORMA
145441,C.PZ,,CITIGROUP CAPITAL VIII
145451,HYW.1,0001137007,CORPORATE HIGH YIELD FD IV
145453,SJCK,0001107206,SPEAR & JACKSON INC
145455,TTGL,0000770471,TITAN GLOBAL HOLDINGS INC
145471,PYPL.1,0001103415,PAYPAL INC
145472,0129B,0001323891,AMERICAN TIRE DISTRBTR HLDGS
145472,0079A,0001323891,AMERICAN TIRE DISTRBTR HLDGS
145472,1760B,0001323891,AMERICAN TIRE DISTRBTR HLDGS
145472,1761B,0001323891,AMERICAN TIRE DISTRBTR HLDGS
145474,3SDFDQ,,SECURED DIVERSIFIED INVT-OLD
145475,HIHI,0001122099,HOLIDAY ISLAND HOLDINGS INC
145497,JPM.PO,0001124817,BANK ONE CAPITAL VI
145498,SHSNQ,0001138173,SHEARSON FINANCIAL NETWORKS
145499,MCNJ,0001332832,MOSAIC NUTRICEUTICALS CORP
145512,APPX,0001141399,APP PHARMACEUTICALS INC
145513,NSCN,0001088454,NETSCREEN TECHNOLOGIES INC
145515,CRXN,0001136917,CONCENTRAX INC
145518,NT.US,,NORTEL NETWORKS CP (US-GAAP)
145536,SUMM.1,,SIGNATURE HORIZONS GROUP INC
145537,GRDP,0001119700,GARDANT PHARMACEUTICALS INC
145538,NTHD,0001139493,NETIMPACT HOLDINGS INC
145540,FTMK,,FORTUNE MARKET MEDIA INC
145552,CNC,0001071739,CENTENE CORP
145553,BSVN.1,0001103092,BALSAM VENTURES INC
145555,FZB.P,0001157515,FCB/NC CAPITAL TRUST II
145561,RBNCP,,REPUBLIC CAPITAL TRUST I
145577,RVXCF,0001372821,RESVERLOGIX CORP
145577,RVX.,0001372821,RESVERLOGIX CORP
145577,RVX.WT,0001372821,RESVERLOGIX CORP
145578,CSSV,0001093430,CASPIAN SERVICES INC
145579,NPDI,0001138659,NEPTUNE INDUSTRIES INC
145580,PBNC.1,0001143330,PFS BANCORP INC -OLD
145600,SOYO,0001108955,SOYO GROUP INC
145616,0131B,,OUTSOURCING SOLUTIONS INC
145616,0132B,,OUTSOURCING SOLUTIONS INC
145616,0133B,,OUTSOURCING SOLUTIONS INC
145621,3DVBC,0001313868,DISCOVERY BANCORP
145622,STLOF,0001135443,SHEP TECHNOLOGIES INC
145622,0416B,0001135443,SHEP TECHNOLOGIES INC
145636,CHFN,0001478726,CHARTER FINANCIAL CORP/MD
145656,CD.P,,CENDANT CORP-PRO FORMA
145657,TCPS.2,,TECHNICAL CONSUMER PROD INC
145658,GAXIQ,0001132784,GALAXY ENERGY CORP
145659,DNDT.1,,DND TECHNOLOGIES INC -OLD
145701,PFG,0001126328,PRINCIPAL FINANCIAL GRP INC
145701,PFG.PB,0001126328,PRINCIPAL FINANCIAL GRP INC
145702,UDI.2,0001051719,UNITED DEFENSE INDUSTRIES
145703,LBHC,0001160799,LONG BEACH HOLDINGS CORP
145717,EPOI,0001079990,EPOD INTERNATIONAL INC
145720,STI.P,0001055167,SUNTRUST CAPITAL IV
145721,3ASURF,0001136609,ASSURE ENERGY INC
145722,BBSRF,0001470385,BLUESTONE RESOURCES INC
145722,BSR.,0001470385,BLUESTONE RESOURCES INC
145723,HDVY,0001141788,HEALTH DISCOVERY CORP
145725,DLAD,0001133598,DEALERADVANCE INC
145729,PVR.1,,PENN VIRGINIA RES PRTNR -OLD
145729,1929B,,PENN VIRGINIA RES PRTNR -OLD
145729,2407B,,PENN VIRGINIA RES PRTNR -OLD
145731,TURA,0001092455,TURBINE AVIATION INC
145766,BPK,0001159040,BLACKROCK MUNI 2018 TERM TR
145767,BLH,0001159039,BLACKROCK NY MUNI 2018 TERM
145768,BJZ,0001159038,BLACKROCK CA MUNI 2018 TERM
145771,FFHN,0001103121,FOREFRONT HOLDINGS INC
145786,EPP,,ISHARES MSCI PACIFIC EX-JPN
145787,IGE,,ISHARES N AMERN NAT RES ETF
145788,JPXN,,ISHARES JPX-NIKKEI 400 ETF
145790,ILF,,ISHARES LATIN AMERICA 40 ETF
145808,CVAS,0001113524,CREATIVE VISTAS INC
145809,LGVN.1,0001041418,LOGICVISION INC
145810,TYT.U,,TR3 TRUST
145812,CPG,0001545851,CRESCENT POINT ENERGY CORP
145812,CPG.,0001545851,CRESCENT POINT ENERGY CORP
145812,CPG.B,0001545851,CRESCENT POINT ENERGY CORP
145813,VEII.1,0001028394,VOYAGER ENTMT INTL INC
145817,PACC,0001071775,PACIFIC CMA INC
145820,0057A,0001098690,CONCENTRA OPERATING CORP
145821,PRC.U,,MULVIHILL PRO AMS 100 PLS CD
145831,DXL,0001161704,ATHENA DIAGNOSTICS INC-RED H
145852,DMG.PA,0001160857,DOMINION CNG CAPITAL TRUST I
145853,HPCCP,0001140657,HUNTINGTON PREFERRED CAP INC
145854,VAS,0001123361,VIASYS HEALTHCARE INC
145872,0138B,,ANTEON CORP
145873,0139B,0000006992,AQUA-CHEM INC
145875,0140B,0001047837,ARGO-TECH CORP
145877,0085A,0001035423,ATLANTIC EXPRESS TRANSN CORP
145878,BHC.P,0001158636,ABC BANCORP CAPITAL TRUST I
145882,3VMGG,0001120961,KIRSHNER INTL INC
145882,KSNR,0001120961,KIRSHNER INTL INC
145891,DSRM,0001129916,DESERT MINING INC
145892,PGOL,0001080448,PATRIOT GOLD CORP
145893,RMDC,0001115255,RUBICON MEDICAL CORP
145911,DJO,0001157972,DJO INC
145913,INQR,0001102942,INNOVAQOR INC
145914,CBF.Z.,0001491594,CONNORS BROS INCOME FUND
145915,HIG.PC,0001006382,HARTFORD CAPITAL III
145916,0217B,0001116181,IWO HOLDINGS INC
145916,IWHD,0001116181,IWO HOLDINGS INC
145918,LKNG,0001074267,LITE KING CORP
145932,HI.PV,0001160268,HOUSEHOLD CAPITAL TR VII
145933,MMOTF,0001159512,O2 PLC
145933,OOM,0001159512,O2 PLC
145935,CLSP,0001142380,CALLISTO PHARMACEUTICALS INC
145951,BPWRF,0001132704,BALATON POWER INC
145952,3CLNB,,CALNET BUSINESS BANK NA
145954,CWBK,0001846858,CW BANCORP
145956,TMYEQ,0001132645,TRANSMERIDIAN EXPL INC
145957,VLY.PZ,0001161123,VNB CAPITAL TRUST I
145971,0143B,0000908139,AMERICO LIFE INC
145972,0144B,0001039096,AMER BLDRS & CNTRCTR SUPPLY
145973,0070A,0001063698,ALLIANCE LAUNDRY SYSTEMS LLC
145974,0076A,0001050096,AIRXCEL INC
145975,OCA.P,,ORTHODONTIC CENTERS-PRO FORM
145976,0078A,0001062771,ADVANSTAR COMMUNICATIONS INC
145977,AAP,0001158449,ADVANCE AUTO PARTS INC
145978,ABCW.P,,ANCHOR BANCORP-PRO FORMA
145979,3AURDQ,0000817979,ACCURIDE CORP
145979,ACW,0000817979,ACCURIDE CORP
145980,0150B,,AMERICAN TISSUE INC
145981,0151B,0001072258,AMERICAN PLUMBING & MECH INC
145981,0195B,0001072258,AMERICAN PLUMBING & MECH INC
145982,0075A,0001059498,AMERICAN LAWYER MEDIA INC
145984,0154B,0001276721,ADVANCED ACCESSORY HLDGS CP
145984,0201B,0001276721,ADVANCED ACCESSORY HLDGS CP
145984,0769B,0001276721,ADVANCED ACCESSORY HLDGS CP
145991,MCHU,0001080973,MICROHOLDINGS US INC
146017,AYI,0001144215,ACUITY BRANDS INC
146019,CLE.U,,CLEAN POWER INCOME FUND
146020,VVC2,0001129542,VECTREN UTILITY HOLDINGS INC
146020,AVU.1,0001129542,VECTREN UTILITY HOLDINGS INC
146021,YUS.Z,,YEARS U S TRUST
146031,VSH.P,,VISHAY INTRTECHNLGY-PRO FORM
146032,D.P,,DOMINION RESOURCES-PRO FORMA
146034,ASN.P,,ARCHSTONE-SMITH-PRO FORMA
146036,IGI.2,0001137019,IMAGISTICS INTERNATIONAL INC
146037,SCUEF,0001178818,STORM CAT ENERGY CORP
146037,SME.Z,0001178818,STORM CAT ENERGY CORP
146051,NPGI,0001161978,NEOGENESIS PHARMACEUTICALS
146071,HBE,0001099918,HENRY BROS ELECTRONICS INC
146072,SIPN,0001128252,SIPP INTL INDUSTRIES INC
146073,IXP,,ISHARES GLOBAL COMM SRVS ETF
146074,0087A,0001078394,BGF INDUSTRIES INC
146075,0086A,0000919465,BERRY PLASTICS CORP
146075,0205B,0000919465,BERRY PLASTICS CORP
146075,0206B,0000919465,BERRY PLASTICS CORP
146075,0207B,0000919465,BERRY PLASTICS CORP
146075,0208B,0000919465,BERRY PLASTICS CORP
146076,GSF.P,,GLOBALSANTAFE CORP-PRO FORMA
146077,IXN,,ISHARES GLOBAL TECH ETF
146078,IXJ,,ISHARES GLOBAL HEALTHCARE
146079,IXG,,ISHARES GLOBAL FINANCIALS
146080,IXC,,ISHARES GLOBAL ENERGY ETF
146081,JRS,0001158289,NUVEEN REAL ESTATE INCOME FD
146082,NNB,0001158728,NUVEEN VA DIV ADV MUNI FD 2
146082,NNB.PC,0001158728,NUVEEN VA DIV ADV MUNI FD 2
146083,NNO,0001158730,NUVEEN NC DIV ADV MUN FD 2
146083,NNO.PC,0001158730,NUVEEN NC DIV ADV MUN FD 2
146085,USB.PC,0001053714,USB CAPITAL IV
146091,FOTB,0001099668,FIRST OTTAWA BANCSHARES INC
146095,PRE.PT,,PARTNERRE CAPITAL TRUST I
146111,MMLXU,0001142406,CAREPAYMENT TECHNOLOGIES INC
146111,CPYT,0001142406,CAREPAYMENT TECHNOLOGIES INC
146112,VSYN,0000737243,VALENTEC SYSTEMS INC
146114,MCGC,0001141299,MCG CAPITAL CORP
146116,STA.PA,0001162152,ST PAUL CAPITAL TRUST I
146117,LQMT,0001141240,LIQUIDMETAL TECHNOLOGIES
146119,AQQSQ,0001121783,AMERICAN SPECTRUM REALTY INC
146132,0062A,0001061112,DOE RUN RESOURCES CORP
146133,0162B,0000949957,AEARO CORP
146135,0164B,,CARPENTER (W R) NORTH AM INC
146136,HTOG,0001075636,HEARTLAND OIL & GAS CORP
146137,ENDRQ,0001112412,ENDEAVOUR INTERNATIONAL CORP
146138,EBLC,0001103719,EARTHBLOCK TECHNOLOGIES INC
146139,SHDMF,0001373439,SHOPPERS DRUG MART CORP
146139,SC.2,0001373439,SHOPPERS DRUG MART CORP
146140,PDM,0001042776,PIEDMONT OFFICE REALTY TRUST
146140,5108B,0001042776,PIEDMONT OFFICE REALTY TRUST
146140,5115B,0001042776,PIEDMONT OFFICE REALTY TRUST
146140,5116B,0001042776,PIEDMONT OFFICE REALTY TRUST
146153,FESVF,0001279771,FLINT ENERGY SERVICES LTD
146153,FES.,0001279771,FLINT ENERGY SERVICES LTD
146155,IGWM,0001136329,INTERGLOBAL WASTE MGMT INC
146156,ALR.,0001145460,ALERE INC
146156,ALR.PB,0001145460,ALERE INC
146157,OFEK,,OFEK CAPITAL CORP
146158,CHMO,0001160764,CHINA MOBILE MEDIA TECH INC
146171,MANT,0000892537,MANTECH INTL CORP
146171,1762B,0000892537,MANTECH INTL CORP
146172,MDCVU,0001144284,UNIVERSAL MEDIA GROUP INC
146172,UMGP,0001144284,UNIVERSAL MEDIA GROUP INC
146173,UCSO,0001111695,UNITED CONSORTIUM LTD
146174,CLN.1,,CULANE ENERGY CORP
146175,NWSBP,0001162735,NORTHWEST CAPITAL TRUST I
146176,XAIN,0001132034,XA INC
146191,AMJ.1,0001124156,AMERICAN MED LABRTRS  -REDH
146194,0165B,0001090070,CHEROKEE INTERNATIONAL LLC
146194,0204B,0001090070,CHEROKEE INTERNATIONAL LLC
146195,0166B,,COMMUNITY DISTRIBUTORS INC
146196,0058A,0001039785,CONTINENTAL GLOBAL GROUP INC
146197,DLWI1,0001046860,DELTA MILLS INC
146199,VMED1,0000929649,DIAMOND CABLE COMMUN LTD
146200,DLLR1,0001028643,DOLLAR FINANCIAL GROUP INC
146201,ADYE,0001123580,ARADYME CORP
146204,TKER,0001084557,TASKER PRODUCTS CORP
146205,TMK.PT,0001161503,TORCHMARK CAPITAL TR I
146206,DISH1,0001042642,DISH DBS CORP
146211,0174B,,LODESTAR HOLDINGS INC
146213,0176B,0000032880,ENERGY CORP OF AMERICA
146214,0177B,,EVENFLO INC
146215,0178B,,FONDA GROUP INC
146217,BHK,0001160864,BLACKROCK CORE BOND TRUST
146218,MBDE,0001133901,MORRIS BUSINESS DEVELOPMENT
146252,PJET,0001092448,PRIORITY AVIATION  INC
146271,HYV,0001160469,BLACKROCK CORP HIGH YLD FD V
146272,BPFH.P,,BOSTON PRIVATE-PRO FORMA
146293,APIT,0001049861,ASPIRE INTERNATIONAL INC
146311,PAK.2,0001144256,INTRA ASIA ENTMT CORP-REDH
146313,CPTCQ,0000317477,COMPOSITE TECHNOLOGY CORP
146314,0179B,,ABC FAMILY WORLDWIDE INC
146315,0180B,0000857565,GLASSTECH INC
146331,0181B,0001098341,GOSS HOLDINGS INC
146332,0182B,0001002664,GREAT LAKES CARBON CORP
146333,GAXY.1,0001102217,GALAXY MINERALS INC
146334,SCT.5,,SOLECTRON GLOBAL SVCS CDA IN
146335,DT.Z,0001341735,DIAMOND TREE ENERGY LTD
146352,ACHHY,0001161611,ALUMINUM CORP CHINA LTD
146354,ABVA,0001181001,ALLIANCE BANKSHARES CORP
146372,NOC.R,,NORTHROP GRUMMAN-PRO FORMA2
146391,SANM.P,,SANMINA-SCI CORP-PRO FORMA
146394,TAG.,,TD SELECT CDN GROWTH INDX FD
146395,TAV.,,TD SELECT CDN VALUE INDEX FD
146411,EAS3,0000018675,CENTRAL MAINE POWER CO
146413,AIMT.1,0001115054,AIMSI TECHNOLOGIES INC
146414,SITGQ,0001117258,SECURITY INTELLIGENCE TECH
146416,WPF.1,0001156919,WELLS FARGO CAPITAL TRUST V
146432,CVRMF,0001162586,SCOR HOLDING SWITZERLAND AG
146432,SCRJY,0001162586,SCOR HOLDING SWITZERLAND AG
146435,LNKG,0001145237,LINK GROUP INC
146451,PRTG.1,0001115616,PROTARGA INC-REDH
146452,BFCC,0001726767,BANKFIRST CAPITAL CORP
146454,FCBI,0001258831,FREDERICK COUNTY BANCORP INC
146459,CCP.UN,,CONNOR CLARK&LUNN CNSV IN&GW
146459,CCP.WT,,CONNOR CLARK&LUNN CNSV IN&GW
